StoryID,StoryName,PreviousStoryID,NextStoryID,Intimacy,EventType,EventTypeCondition,EventTypeQuantity,StoryStartPoint,MapID,TalkPandaID,Conversation,CheckStorySuccessOrFailure,ConversationOptionID,OptionA_Text,OptionA_ConversationOptionID,OptionB_Text,OptionB_ConversationOptionID,ClearRewardType,RewardItemID,RewardQuantity,ClearRewardIntimacy
SS1901A,,SS1999Z,,0,,,,NPC19,MN15,NPC19,아이스크림 좀 드셔보세요! 재밌어요!,END,,,,,,,,,1
SS1902A,,SS1901A,,3,LOVEAMOUNT,,,NPC19,MN15,NPC01,한번 먹어볼까?,,,,,,,,,,1
SS1902A,,,,,,,,,,NPC19,꼬마 도련님 한번 잡아 보시겠어요?,,,왼 쪽,CHOICE_A,오른 쪽,CHOICE_B,,,,
SS1902A,,,,,,,,,,NPC19,오우 날쌘 돌이 도련님! 한 번에 잡았네요. 하지만 재미는 없죠?,FAIL,CHOICE_B,,,,,,,,
SS1902A,,,,,,,,,,NPC19,느림보 도련님! 아쉬웠어요! 이번엔 어느쪽?,DONE,CHOICE_A,왼 쪽,CHOICE_A,오른 쪽,CHOICE_B,,,,
SS1902A,,,,,,,,,,NPC19,오우 날쌘 돌이 도련님! 한 번에 잡았네요. 하지만 재미는 없죠?,FAIL,CHOICE_B,,,,,,,,
SS1902A,,,,,,,,,,NPC19,느림보 도련님! 아쉬웠어요! 이번엔 어느쪽?,DONE,CHOICE_A,왼 쪽,CHOICE_A,오른 쪽,CHOICE_B,,,,
SS1902A,,,,,,,,,,NPC19,오우 날쌘 돌이 도련님! 한 번에 잡았네요. 하지만 재미는 없죠?,DONE,CHOICE_A,,,,,,,,
SS1902A,,,,,,,,,,NPC19,오우 날쌘 돌이 도련님! 한 번에 잡았네요. 하지만 재미는 없죠?,DONE,CHOICE_B,,,,,,,,
SS1902A,,,,,,,,,,NPC19,다음에 또 도전해보세요!,END,,,,,,,,,
