스토리ID,스토리 이름,이전 스토리ID,다음 스토리ID,친밀도,이벤트 타입,이벤트 타입 조건,이벤트 타입 수량,스토리 스타트 포인트,맵 ID,talkPandaID,일반 대화,스토리 성공 실패 체크,대화 선택지 ID,선택A_텍스트,선택지A_대화 이동 ID,선택B_텍스트,선택지B_대화 이동 ID,클리어 보상 타입,보상 아이템 ID,보상 수량,클리어 보상 친밀도
SS1401A,,SS1499Z,SS1402A,0,,,,NPC14,MN06,NPC14,생선 보고 가라냥~,END,,,,,,,,,1
SS1402A,,SS1401A,SS1403A,3,,,,NPC14,MN06,NPC14,오늘은 생선 구이를 먹는 것은 어떠냥~,END,,,,,,,,,1
SS1403A,,SS1402A,SS1403B,5,,,,NPC14,MN06,NPC14,내가 다 먹어버릴 정도로 맛있는 생선이다냥~,END,,,,,,,,,1
SS1403B,,SS1403A,SS1404A,7,IVGI,IFI49,0,NPC14,MN06,NPC14,냠냠 냠냠,,,,,,,IVGI,IFI49,1,20
SS1403B,,,,,,,,,,POYA00,"씨푸릿,,,?? 생선 사러 왔는데,,,",,,,,,,,,,
SS1403B,,,,,,,,,,NPC14,"어엇?? 포야?? 아니,,, 그게,,,",,,,,,,,,,
SS1403B,,,,,,,,,,NPC14,"내가 생선을 몰래 먹은 걸 알면 로니한테 혼날 거야,,로니한테 비밀로 해줘 제발!!",,,그쯤이야!,CHOICE_A,"어,,응,,그럴까,,?",CHOICE_B,,,,
SS1403B,,,,,,,,,,POYA00,그래 대신 이번 한 번만이야!!,DONE,CHOICE_A,,,,,,,,
SS1403B,,,,,,,,,,NPC14,고마워 포야 내가 서비스 하나 줄게!!,END,,,,,,,,,
SS1403B,,,,,,,,,,POYA00,"근데 이제는 상품을 몰래 먹으면 안돼,, 알았지?",DONE,CHOICE_B,,,,,,,,
SS1403B,,,,,,,,,,NPC14,고마워 포야 내가 서비스 하나 줄게!!,,,,,,,,,,
SS1403B,,,,,,,,,,SYSTEM,인어의 비늘을 획득하였습니다.,REWARD,,,,,,,,,
SS1403B,,,,,,,,,,POYA00,이게 뭐지??,END,,,,,,,,,1
SS1404A,,SS1403B,SS1405A,25,,,,NPC14,MN06,NPC14,"(눈치를 보며) 생,,, 생선 사라냥~ 맛있는 생선있다냥~",END,,,,,,,,,
