스토리ID,스토리 이름,이전 스토리ID,다음 스토리ID,친밀도,이벤트 타입,이벤트 타입 조건,이벤트 타입 수량,스토리 스타트 포인트,맵 ID,talkPandaID,일반 대화,스토리 성공 실패 체크,대화 선택지 ID,선택A_텍스트,선택지A_대화 이동 ID,선택B_텍스트,선택지B_대화 이동 ID,클리어 보상 타입,보상 아이템 ID,보상 수량,클리어 보상 친밀도
SS1801A,,SS1899Z,SS1801B,0,,,,NPC18,MN06,NPC18,아침마다 쓰레기는 지겨워!,,,,,,,,,,1
SS1801B,,SS1801A,SS1802A,,,,,NPC18,MN06,NPC18,잡히면 토루루 녀석을 혼쭐을 내야겠어!,END,,,,,,,,,
SS1802A,,SS1801B,SS1802B,6,IVGI,탕후루,1,NPC18,MN06,NPC18,너희! 그거 먹고 쓰레기는 어디다 버리려고 하는거야!,,,,,,,,미니토의 경고장,1,1
SS1802B,,,,,,,,,,POYA00,"예,,? 이거 아직 안 먹었,,",,,,,,,,,,
SS1802B,,,,,,,,,,NPC18,너희 이제 먹고 꼬챙이는 아무곳에나 버릴 생각으로,,,,,,,,,,
SS1802B,,,,,,,,,,NPC18,아무렇게나 바닥에 쓰레기를 버리면 또 상인들이 청소를 다 해야하는데,,,,,,,,,,
SS1802B,,,,,,,,,,NPC18,아주 쓰레기장이랑 다를 거 없이,,,,,,,,,,
SS1802B,,,,,,,,,,NPC18,블라블라,,,,,,,,,,
SS1802B,,,,,,,,,,NPC01,그냥 화가 엄청 나셨는데 좀 기다려 보자,,,,,,,,,,
SS1802B,,,,,,,,,,NPC18,"헉,, 헉,,",,,,,,,,,,
SS1802B,,,,,,,,,,NPC18,정말인지 꼬챙이 쓰레기는 참을 수 없다고!!,,,,,,,,,,
SS1802B,,,,,,,,,,POYA00,아직 안먹었는데 쓰레기는 꼭 쓰레기통에 버릴게요!,,,,,,,,,,
SS1802B,,,,,,,,,,NPC18,너희 토루루를 만나면 아줌마가 화가 단단히 났다고 전해주고 탕후루 그만 팔고다니라고 전해주렴!,END,,,,,,,,,
SS1802C,,SS1802B,SS1802D,,IVGI,미니토의 경고장,1,NPC18,MN06,NPC17,앗 여러분 또 맛있는 간식 사러 오셨어?,,,,,,,,,,
SS1802D,,SS1802C,SS1802E,,,,,NPC18,MN06,NPC01,"토루루,, 너희 집에서 판매하는 탕후루 때문에 미니토 아줌마가 화가 단단히 나있던데,",,,,,,,,,,
SS1802E,,,,,,,,,,NPC01,탕후루 꼬챙이 쓰레기가 너무 많이 나오나봐,,,,,,,,,,
SS1802E,,,,,,,,,,NPC17,아니 이런 몰상식 손님들! ,,,,,,,,,,
SS1802E,,,,,,,,,,NPC17,내가 분명히 나에게 돌아와서 쓰레기는 다시 달라고 했는데 아무렇지 않게 쓰레기를 버렸구나!,,,,,,,,,,
SS1802E,,,,,,,,,,NPC17,"미니토 아줌마는 착하시지만 다혈질이라서 화가 많이 나셨을텐데,,",,,,,,,,,,
SS1802E,,,,,,,,,,NPC17,쓰레기는 내가 책임지고 처리할게! 대신 사죄의 마음으로 이걸 좀 아줌마에게 전해줄래?,,,,,,,,,,
SS1802E,,SS1802D,SS1802F,,,,,NPC18,MN06,POYA00,그래! 이거랑 쓰레기에 관해서는 아줌마에게 전해줄게!,,,,,,,,,,
SS1802F,,SS1802E,SS1802G,,IVGI,사죄의 탕후루,1,NPC18,MN06,NPC18,"흠,, 요새는 쓰레기가 좀 줄어든 것 같기도 하고,, 아닌가?",,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,그래 내가 많이 치워놨으니 쓰레기가 없어진거일거야,,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,"중얼 중얼,,",,,,,,,,,,
SS1802G,,,,,,,,,,POYA00,아주머니! 저희가 전달하고 왔어요!,,,,,,,,,,
SS1802G,,,,,,,,,,POYA00,쓰레기는 확실하게 처리하겠다고 하면서 이걸 전해줬어요.,,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,"뭐? 쓰레기는 잘 알겠지만 내가 스트레스를 얼마나 받았는데 이런 걸 먹는다고 화가 풀린다고 생각하는,,,",,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,"와그작,,,",,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,"와그작,,,",,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,"와그작,,,",,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,"흠,,,",,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,"오호,,,",,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,그래 뭐 판매한 사람보다는 아무렇게나 쓰레기를 버린 손님들이 문제이긴 하지,,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,"근데 왜이렇게 많이 먹나 했더니 흠,, 그렇구만,, 앗차!",,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,아니 뭐! 그래 사과는 받았으니 앞으로는 조심하라고 전해주렴!,,,,,,,,,,
SS1802G,,,,,,,,,,NPC18,",,,, 맛있네,,,",,,,,,,,,,
SS1802G,,SS1802F,SS1803A,,,,,NPC18,MN06,NPC01,"음,, 아줌마 저거 좋아하게 된거같지?",END,,,,,,,사죄의 탕후루,-1,20
