스토리ID,스토리 이름,이전 스토리ID,다음 스토리ID,친밀도,이벤트 타입,이벤트 타입 조건,이벤트 타입 수량,스토리 스타트 포인트,맵 ID,talkPandaID,일반 대화,스토리 성공 실패 체크,대화 선택지 ID,선택A_텍스트,선택지A_대화 이동 ID,선택B_텍스트,선택지B_대화 이동 ID,클리어 보상 타입,보상 아이템 ID,보상 수량,클리어 보상 친밀도
SS0501,,SS0599,SS0502,0,,,,NPC05,MN02,NPC05,오늘도 낚시하기 좋은 날씨군!!,END,,,,,,,,,5
SS0502,,SS0501,SS0503,30,,,,NPC05,MN02,NPC05,오늘은 새로운 것을 낚을 수 있을 것 같아,END,,,,,,,,,5
SS0503,,SS0502,SS0504,35,,,,NPC05,MN02,NPC05,"포야, 지지 안녕~",END,,,,,,,,,5
SS0504,,SS0503,SS0505,50,IVGI,IFI49,1,NPC05,MN02,NPC05,"포야, 지지 안녕~",,,,,,,퀘스트 아이템,인어와 브로이의 만남,1,5
SS0504,,,,,,,,,,NPC05,어?! 이것은 인어의 비늘?! ,,,,,,,,,,
SS0504,,,,,,,,,,POYA00,아 맞아요 친구가 준 공예품이에요~,,,,,,,,,,
SS0504,,,,,,,,,,NPC05,공예품이 아니야 이건 진짜 인어의 비늘이야,,,,,,,,,,
SS0504,,,,,,,,,,NPC01,이게 인어의 비늘이에요?? ,,,,,,,,,,
SS0504,,,,,,,,,,POYA00,아저씨는 인어를 본 적이 있어요?,,,,,,,,,,
SS0504,,,,,,,,,,NPC05,"그래, 나는 어릴 적 이곳에서 인어와 만나 친구가 되었단다.",,,,,,,,,,
SS0504,,,,,,,,,,NPC05,"혹시나 다시 그 친구를 만날 수 있을까 해서 이곳에 자주 왔지만 그 이후로는,,",,,,,,,,,,
SS0504,,,,,,,,,,NPC05,아 내가 무슨소리를. 이미 다 지난 옛날 이야기란다,,,,,,,,,,
SS0504,,,,,,,,,,NPC01,아저씨 조금 그리워 하는 것 같네. 혹시 인어와 다시 만날 방법이 있을까?,END,,,,,,,,,
SS0505,,SS0504,SS0506,55,퀘스트 아이템 체크,인어와 브로이의 만남,1,NPC05,MN02,NPC05,"포야, 지지 안녕~",,,,,,,퀘스트 아이템,인어의 성인식,1,1
SS0505,,,,,,,,,,NPC08,"zzz,zz,,,zz",,,,,,,,,,
SS0505,,,,,,,,,,NPC01,할아버지 깨어있을 때가 있긴 한가?,,,,,,,,,,
SS0505,,,,,,,,,,NPC08,"으어,, 꼬리로 때리지마~!",,,,,,,,,,
SS0505,,,,,,,,,,NPC01,할아버지 혹시 베스한테 뺨맞는 꿈이라도 꾼거야?,,,,,,,,,,
SS0505,,,,,,,,,,NPC08,베스는 요놈아 인어의 꼬리로 맞았던 젊은 시절이 꿈에 나온거지,,,,,,,,,,
SS0505,,,,,,,,,,NPC08,"내가 젊었을 적에는 인기가 많아서 인어들도 나를 가만히 두지를 않고,,",,,,,,,,,,
SS0505,,,,,,,,,,NPC01,할아버지! 인어라고? 인어를 만난 적이 있어?,,,,,,,,,,
SS0505,,,,,,,,,,NPC08,만나기만 했으려고 데이트도 하고 히히히,,,,,,,,,,
SS0505,,,,,,,,,,POYA00,잠깐만 인어들을 어떻게 하면 만날 수 있는거에요? 방법을 알려주세요,,,,,,,,,,
SS0505,,,,,,,,,,NPC01,그래! 인어 친구를 그리워 하는 분이 계신단 말이야! 둘은 친구였대!,,,,,,,,,,
