스토리ID,스토리 이름,이전 스토리ID,다음 스토리ID,친밀도,이벤트 타입,이벤트 타입 조건,이벤트 타입 수량,스토리 스타트 포인트,맵 ID,talkPandaID,일반 대화,스토리 성공 실패 체크,대화 선택지 ID,선택A_텍스트,선택지A_대화 이동 ID,선택B_텍스트,선택지B_대화 이동 ID,클리어 보상 타입,보상 아이템 ID,보상 수량,클리어 보상 친밀도
SS1101A,,SS1199Z,SS1102A,0,,,,NPC11,MN06,NPC11,예쁜 꽃을 보고 있으면 기분이 좋아져요~,END,,,,,,,,,1
SS1102A,,SS1101A,SS1103A,3,,,,NPC11,MN06,NPC11,예쁜 꽃을 소중한 사람에게 선물해 봐요~,END,,,,,,,,,1
SS1103A,,SS1102A,SS1104A,5,,,,NPC11,MN06,NPC11,귀여운 벌들도 예쁜 꽃을 보려고 놀러온답니다~,END,,,,,,,,,1
SS1104A,,SS1103A,SS1105A,7,IVGI,IFR01,1,NPC11,MN06,NPC01,으으아악~ 벌이다벌!! 판다 살려~,,,,,,,IVGI,IFR01,-1,20
SS1104A,,,,,,,,,,POYA00,도망쳐 벌이다 벌!!,,,,,,,,,,
SS1104A,,,,,,,,,,POYA00,어디로 도망가지??,,,왼쪽으로!,CHOICE_A,오른쪽으로!,CHOICE_B,,,,
SS1104A,,,,,,,,,,NPC01,으악 벌에 쏘였어,FAIL,CHOICE_A,,,,,,,,
SS1104A,,,,,,,,,,POYA00,집에 가서 쉬어야겠어,END,,,,,,,,,
SS1104A,,,,,,,,,,NPC11,포야!! 지지!!,DONE,CHOICE_B,,,,,,,,
SS1104A,,,,,,,,,,NPC01,저리가 저리~!~!,,,,,,,,,,
SS1104A,,,,,,,,,,POYA00,지지 내가 구해줄게!!,,,,,,,,,,
SS1104A,,,,,,,,,,NPC11,포야 탕후루를 흔들면 위험해!! 얼른 꽃집으로 들어오렴!,,,,,,,,,,
SS1104A,,,,,,,,,,POYA00,앗 내 탕후루 흘려버렸잖아ㅜㅜ,,,,,,,,,,
SS1104A,,,,,,,,,,SYSTEM,탕후루를 하나 떨어뜨렸습니다.,REWARD,,,,,,,,,
SS1104A,,,,,,,,,,NPC11,"포야, 지지 괜찮니???",,,,,,,,,,
SS1104A,,,,,,,,,,POYA00,네 감사합니다 아주머니!,,,,,,,,,,
SS1104A,,,,,,,,,,NPC11,탕후루를 가지고 있구나 탕후루는 달콤한 냄새를 나서 벌들이 날아올 수 있어 조심해야 한다~,END,,,,,,,,,
SS1105A,,SS1104A,SS1106A,25,,,,NPC11,MN06,NPC11,포야 탕후루를 가지고 꽃집에 오면 위험하단다~,END,,,,,,,,,1
