스토리ID,스토리 이름,이전 스토리ID,다음 스토리ID,친밀도,이벤트 타입,이벤트 타입 조건,이벤트 타입 수량,스토리 스타트 포인트,맵 ID,talkPandaID,일반 대화,스토리 성공 실패 체크,대화 선택지 ID,선택A_텍스트,선택지A_대화 이동 ID,선택B_텍스트,선택지B_대화 이동 ID,클리어 보상 타입,보상 아이템 ID,보상 수량,클리어 보상 친밀도
SS0901A,,SS0999Z,SS0902A,0,,,,NPC09,MN06,NPC09,싱싱한 과일이라고! 한번 구경하고가!,END,,,,,,,,,1
SS0902A,,SS0901A,SS0903A,3,,,,NPC09,MN06,NPC09,내가 판매하는 과일은 최고의 품질을 장담해!,END,,,,,,,,,1
SS0903A,,SS0902A,SS0904A,5,,,,NPC09,MN06,NPC09,내가 많은 과일을 판매해봤지만 새로운 과일을 알게되는 건 참 흥미로운 일이야.,END,,,,,,,,,1
SS0904A,,SS0903A,SS0905A,6,,,,NPC09,MN06,NPC09,조금 스페셜한 과일을 보게된다면 정말 기쁠 것 같아!,END,,,,,,,,,1
SS0905A,,SS0904A,SS0906A,7,IVGI,IFR14,1,NPC09,MN06,NPC09,싱싱한 과일 구경하고가!,,,,,,,MONEY,,50,20
SS0905A,,,,,,,,,,NPC09,",,,???",,,,,,,,,,
SS0905A,,,,,,,,,,NPC09,가게에 폭탄을 가져오면 어떡하니! 조심해서 다뤄!,,,,,,,,,,
SS0905A,,,,,,,,,,POYA00, ,,,조심 조심 이거 터집니다!!,CHOICE_AB,"아,, 이건 폭탄이 아니라,,",CHOICE_AB,,,,
SS0905A,,,,,,,,,,NPC09,"뭐? 이게 과일이라고? 먹을 수 있는 과일은 아닌거 같은데,, 내가 한번 봐도 괜찮겠니?",DONE,CHOICE_AB,,,,,,,,
SS0905A,,,,,,,,,,NPC09,"흠 ,, 오! 우와,, 아 따가워!!",,,,,,,,,,
SS0905A,,,,,,,,,,NPC09,얘들아 이거 한번 껍질을 까서 같이 열어볼까?,,,,,,,,,,
SS0905A,,,,,,,,,,NPC01,좋아요!,,,,,,,,,,
SS0905A,,,,,,,,,,POYA00,"진짜 터지면 어떡해요,,?",,,,,,,,,,
SS0905A,,,,,,,,,,NPC09,자 열어볼게! 슥삭 슥삭 슥삭,,,,,,,,,,
SS0905A,,,,,,,,,,NPC09,노랗고 과즙이 넘치는데? 같이 한번 먹어보자!,,,,,,,,,,
SS0905A,,,,,,,,,,NPC09,너무 맛있어!! 이국적이야! 너무 새로워!!,END,,,,,,,,,
SS0906A,,SS0905A,SS0907A,25,,,,NPC09,MN06,NPC09,고맙다 얘들아 또 스페셜한 과일을 갖게된다면 나한테 보여줘!,END,,,,,,,,,1
